pos_x,pos_y,pos_z,b_x,b_y,b_z,b_total_strength
8.4,50.0,25.0,-1.1069499395415847e-09,0.0,-7.572199864206051e-10,1.3411637769064372e-09
8.5,50.0,25.0,-1.116108277918414e-09,0.0,-7.60358102587257e-10,1.350496994520203e-09
8.6,50.0,25.0,-1.1253580717036012e-09,0.0,-7.635038047828684e-10,1.3599150155308837e-09
8.700000000000001,50.0,25.0,-1.13470037274141e-09,0.0,-7.666569335742056e-10,1.369418778057647e-09
8.8,50.0,25.0,-1.1441362462872242e-09,0.0,-7.698173242009362e-10,1.3790092322780544e-09
8.9,50.0,25.0,-1.153666771189975e-09,0.0,-7.729848064484074e-10,1.3886873406019023e-09
9.0,50.0,25.0,-1.1632930400770764e-09,0.0,-7.761592045175507e-10,1.3984540778477797e-09
9.1,50.0,25.0,-1.1730161595419105e-09,0.0,-7.793403368918465e-10,1.408310431422401e-09
9.200000000000001,50.0,25.0,-1.1828372503338933e-09,0.0,-7.825280162012853e-10,1.4182574015027612e-09
9.3,50.0,25.0,-1.1927574475511412e-09,0.0,-7.857220490832526e-10,1.42829600122114e-09
9.4,50.0,25.0,-1.202777900835793e-09,0.0,-7.889222360402742e-10,1.4384272568530335e-09
9.5,50.0,25.0,-1.212899774571985e-09,0.0,-7.921283712945433e-10,1.4486522080080222e-09
9.600000000000001,50.0,25.0,-1.2231242480865587e-09,0.0,-7.953402426391669e-10,1.4589719078236696e-09
9.700000000000001,50.0,25.0,-1.2334525158524866e-09,0.0,-7.985576312860469e-10,1.4693874231624588e-09
9.8,50.0,25.0,-1.2438857876950879e-09,0.0,-8.017803117103262e-10,1.4798998348118487e-09
9.9,50.0,25.0,-1.2544252890010352e-09,0.0,-8.05008051491321e-10,1.4905102376874786e-09
10.0,50.0,25.0,-1.2650722609302163e-09,0.0,-8.082406111498602e-10,1.501219741039595e-09
10.100000000000001,50.0,25.0,-1.2758279606304518e-09,0.0,-8.11477743981945e-10,1.5120294686627258e-09
10.200000000000001,50.0,25.0,-1.2866936614551404e-09,0.0,-8.147191958886587e-10,1.522940559108693e-09
10.3,50.0,25.0,-1.2976706531838262e-09,0.0,-8.179647052022246e-10,1.5339541659029778e-09
10.4,50.0,25.0,-1.3087602422457513e-09,0.0,-8.212140025081422e-10,1.545071457764527e-09
10.5,50.0,25.0,-1.3199637519464182e-09,0.0,-8.24466810463297e-10,1.5562936188290394e-09
10.600000000000001,50.0,25.0,-1.3312825226971866e-09,0.0,-8.277228436099667e-10,1.5676218488757914e-09
10.700000000000001,50.0,25.0,-1.3427179122479612e-09,0.0,-8.30981808185621e-10,1.5790573635580717e-09
10.8,50.0,25.0,-1.3542712959229729e-09,0.0,-8.34243401928424e-10,1.5906013946372606e-09
10.9,50.0,25.0,-1.3659440668597336e-09,0.0,-8.375073138783456e-10,1.6022551902206559e-09
11.0,50.0,25.0,-1.3777376362511359e-09,0.0,-8.407732241737702e-10,1.6140200150030433e-09
11.100000000000001,50.0,25.0,-1.3896534335908051e-09,0.0,-8.440408038435186e-10,1.6258971505121496e-09
11.200000000000001,50.0,25.0,-1.4016929069216704e-09,0.0,-8.473097145941627e-10,1.6378878953579711e-09
11.3,50.0,25.0,-1.4138575230878446e-09,0.0,-8.505796085925373e-10,1.6499935654860988e-09
11.4,50.0,25.0,-1.4261487679898022e-09,0.0,-8.538501282433357e-10,1.6622154944350602e-09
11.5,50.0,25.0,-1.4385681468429223e-09,0.0,-8.571209059616777e-10,1.6745550335977754e-09
11.600000000000001,50.0,25.0,-1.4511171844394189e-09,0.0,-8.603915639405387e-10,1.6870135524871851e-09
11.700000000000001,50.0,25.0,-1.4637974254136847e-09,0.0,-8.636617139129223e-10,1.69959243900611e-09
11.8,50.0,25.0,-1.4766104345110938e-09,0.0,-8.669309569086545e-10,1.7122930997214222e-09
11.9,50.0,25.0,-1.489557796860303e-09,0.0,-8.701988830056858e-10,1.7251169601426051e-09
