pos_x,pos_y,pos_z,b_x_gt,b_y_gt,b_z_gt,b_total_strength_gt,throttle,b_motor_x,b_motor_y,b_motor_z,b_x_noisy,b_y_noisy,b_z_noisy,b_total_strength_noisy
79.7,50.0,25.0,3.2772656289512946e-09,0.0,-1.0595388743835123e-09,3.4442840517349035e-09,0.6107810958779529,-0.0,-0.0,6.10781095877953e-06,8.133751780866076e-09,2.0933550140240452e-08,6.109690698063886e-06,6.109731974272511e-06
79.80000000000001,50.0,25.0,3.2445303989620363e-09,0.0,-1.059831540612477e-09,3.4132419199737022e-09,0.6081827627183106,-0.0,-0.0,6.081827627183107e-06,-2.759403303485029e-08,-1.7237717331188404e-09,6.083667174719029e-06,6.083729998512584e-06
79.9,50.0,25.0,3.212171933314118e-09,0.0,-1.0600048012715e-09,3.3825520998041686e-09,0.605606824144433,-0.0,-0.0,6.0560682414443296e-06,5.6506579387525977e-08,-4.684304573774015e-08,6.057516716570971e-06,6.057961376237457e-06
80.0,50.0,25.0,3.1801855679997018e-09,0.0,-1.0600618559999001e-09,3.352209925625115e-09,0.6030536869268818,-0.0,-0.0,6.0305368692688185e-06,-2.080900200924047e-09,3.553144833234819e-08,6.032314723409772e-06,6.032419724806336e-06
80.10000000000001,50.0,25.0,3.1485666954564787e-09,0.0,-1.060005831520938e-09,3.3222107998434003e-09,0.6005237542356201,-0.0,-0.0,6.005237542356202e-06,-3.712874776985035e-08,-5.3809734337336785e-08,6.006739712310697e-06,6.007095471429667e-06
80.2,50.0,25.0,3.1173107640551954e-09,0.0,-1.0598397832406647e-09,3.292550191847348e-09,0.5980174255763486,-0.0,-0.0,5.980174255763486e-06,4.9077288731577767e-08,5.226133671131738e-08,5.981608670292734e-06,5.98203829075887e-06
80.30000000000001,50.0,25.0,3.086413277583782e-09,0.0,-1.0595666968127563e-09,3.2632236369945835e-09,0.5955350967274162,-0.0,-0.0,5.955350967274163e-06,1.848485201928381e-08,2.691584317779957e-08,5.9571077110363375e-06,5.957197196102941e-06
80.4,50.0,25.0,3.055869794728727e-09,0.0,-1.0591894896700099e-09,3.2342267356143734e-09,0.5930771596773249,-0.0,-0.0,5.9307715967732495e-06,2.863593022635236e-08,-2.5076530213969614e-08,5.932479178861671e-06,5.9326012891896546e-06
80.5,50.0,25.0,3.0256759285538986e-09,0.0,-1.0587110125231404e-09,3.205555152024103e-09,0.5906440025628277,-0.0,-0.0,5.906440025628277e-06,-6.699703038543929e-08,4.438193394680498e-08,5.907708012782855e-06,5.908254591877374e-06
80.60000000000001,50.0,25.0,2.9958273459773483e-09,0.0,-1.0581340508275555e-09,3.177204613559916e-09,0.5882360096076386,-0.0,-0.0,5.882360096076386e-06,-2.4558750314284205e-08,-2.1796042482791262e-08,5.884068654071307e-06,5.884160273608243e-06
